id,x,y,centroid,geometry,elevation
6525,-0.9831250523769024,-3.1139527792831534,0,POINT (83639.53125 447093.4375),0.0
6527,-0.9796920794085237,-3.114210176851147,0,POINT (84168.3125 447027.0625),0.0
6528,-0.9791561907412368,-3.112741255647752,0,POINT (84262.5625 447248.8125),0.0
6529,-0.978422859557696,-3.1125092293537504,0,POINT (84377.74219 447278.7813),0.0
6530,-0.9780961421364176,-3.113283645921645,0,POINT (84422.25 447157.125),0.0
6531,-0.9776553299674569,-3.1130093626832585,0,POINT (84492.53125 447195.875),0.0
6532,-0.978085866465196,-3.1119925258519032,0,POINT (84433.85156 447355.625),0.0
6533,-0.9785274349677956,-3.112275996239376,0,POINT (84363.38281 447315.4688),0.0
6537,-0.9786282439779456,-3.113669023390304,0,POINT (84336.99219 447102),0.0
6538,-0.9790468791166402,-3.1128976474829626,0,POINT (84278.25 447223.9063),0.0
6539,-0.977735021459072,-3.1151400440905115,0,POINT (84463.6875 446868.7813),0.0
6540,-0.977300417506592,-3.1147431640411503,0,POINT (84533.96094 446926.4375),0.0
6541,-0.976445412639275,-3.113892625156349,0,POINT (84672.75 447050.5938),0.0
6542,-0.9762636588602052,-3.113337276852599,0,POINT (84705.15625 447134.5938),0.0
6543,-0.9754917759978238,-3.1126364221197487,0,POINT (84829.92969 447236.375),0.0
6546,-0.9750637779244548,-3.1133311519009363,0,POINT (84890.71875 447126.1875),0.0
6547,-0.9746469373898614,-3.114157287170494,0,POINT (84948.76563 446995.875),0.0
6549,-0.9743327886569876,-3.114348007371139,0,POINT (84995.85938 446964.0938),0.0
6550,-0.9736856006475996,-3.114963362421266,0,POINT (85091.15625 446864.4063),0.0
6551,-0.9808013003925348,-3.115156537068232,0,POINT (83989.46875 446890.1563),0.0
6552,-0.9804041492595575,-3.11575241350533,0,POINT (84046.25 446795.4063),0.0
6553,-0.9781866647482498,-3.1157098751143995,0,POINT (84389.4375 446784.6563),0.0
6555,-0.9769392071272625,-3.1125218104049672,0,POINT (84607.03125 447265.2813),0.0
6556,-0.9767687313772012,-3.113802339470268,0,POINT (84623.46094 447067),0.0
6558,-0.9771621466252188,-3.1142922201337977,0,POINT (84558.83594 446994.7188),0.0
6560,-0.9786069528760648,-3.110780535903285,0,POINT (84362.6875 447546.0938),0.0
6561,-0.9759906102583452,-3.111476331566272,0,POINT (84761.79688 447418.6875),0.0
6562,-0.975369505221345,-3.1116986439402754,0,POINT (84856.10156 447379.6563),0.0
6563,-0.9757737151225117,-3.11203506677838,0,POINT (84791 447331.0625),0.0
6566,-0.976970012617876,-3.11020850390213,0,POINT (84620.20313 447621.3125),0.0
6568,-0.9779541602535088,-3.110327664983279,0,POINT (84467.125 447610.6563),0.0
6572,-0.9771810521495572,-3.109679126200428,0,POINT (84591.67969 447704.375),0.0
6573,-0.977576191483606,-3.1099919437593573,0,POINT (84528.16406 447659.3438),0.0
6574,-0.9787396704293604,-3.110492035529861,0,POINT (84344.40625 447591.5),0.0
6575,-0.978081784582724,-3.1095835595491508,0,POINT (84453.16406 447726.0938),0.0
6576,-0.9756680529931572,-3.1080785441439898,0,POINT (84838 447938.75),0.0
6577,-0.9749586870385828,-3.107488303628928,0,POINT (84952.24219 448024),0.0
6578,-0.9755483649807658,-3.108243365531409,0,POINT (84855.22656 447912.4688),0.0
6579,-0.9746497318617928,-3.109105503796538,0,POINT (84987.47656 447772.875),0.0
6580,-0.9743206006409662,-3.108813311339119,0,POINT (85040.625 447815.25),0.0
6581,-0.9730388461710496,-3.1077468852669177,0,POINT (85247.04688 447969.2813),0.0
6582,-0.9717998919468934,-3.109147963377665,0,POINT (85427.74219 447744.1563),0.0
6583,-0.9739641922571556,-3.1096614579749327,0,POINT (85089.15625 447682.0313),0.0
6584,-0.9735219125553086,-3.110535320619809,0,POINT (85150.76563 447544.1875),0.0
6585,-0.9734075145080036,-3.110729869287934,0,POINT (85166.94531 447513.375),0.0
6586,-0.9732839331955948,-3.1110088835755567,0,POINT (85183.89063 447469.5),0.0
6587,-0.9735527690152171,-3.111012740982478,0,POINT (85142.29688 447471),0.0
6588,-0.9738717306133362,-3.111062008744243,0,POINT (85092.60156 447465.9063),0.0
6590,-0.9721340392680392,-3.1104721789522145,0,POINT (85365.82813 447543.0938),0.0
6593,-0.9748315978066076,-3.1077120849709767,0,POINT (84970.15625 447988.5938),0.0
6595,-0.9719990051863115,-3.106817877991291,0,POINT (85415 448104.0625),0.0
6596,-0.970155809656938,-3.105612928154313,0,POINT (85709.28125 448275.0313),0.0
6598,-0.9814294707644924,-3.09220956854563,0,POINT (84070.42969 450423.9688),0.0
6599,-0.9678810427434846,-3.1082532095476614,0,POINT (86040.53125 447851.2813),0.0
6600,-0.9693964720250228,-3.109501223814576,0,POINT (85796.58594 447671.125),0.0
6601,-0.971407382023598,-3.107796186823869,0,POINT (85498.89063 447949),0.0
6602,-0.971500965179965,-3.107860863709689,0,POINT (85483.92188 447939.7813),0.0
6603,-0.9758188743140058,-3.1017099394024075,0,POINT (84864.03906 448919.3438),0.0
6604,-0.9746909547355848,-3.103151467170336,0,POINT (85027.23438 448688.875),0.0
6605,-0.9744778780190576,-3.1036267429555267,0,POINT (85056.49219 448614.125),0.0
6606,-0.9729738608417206,-3.105787839294748,0,POINT (85272.26563 448270.0625),0.0
6607,-0.9734582863432386,-3.104902232352253,0,POINT (85204.23438 448410.0313),0.0
