,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
547,108102,6832,6831,133.40436,10,"LINESTRING (83399.640625 444764.03125, 83528.5234375 444798.46875)",1200.0,None,35.0,15,13.721591314285714
548,108441,6709,6845,311.50642,11,"LINESTRING (84107.6953125 446163.59375, 84130.3046875 445972.0625, 84139.3203125 445900, 84123.0859375 445856.9375)",1500.0,None,40.0,15,28.0355778
549,108442,6845,6709,311.50642,11,"LINESTRING (84107.6953125 446163.59375, 84130.3046875 445972.0625, 84139.3203125 445900, 84123.0859375 445856.9375)",1500.0,None,40.0,15,28.0355778
550,108451,6842,6845,335.15733,11,"LINESTRING (83803.1953125 445799.28125, 84043.7890625 445872.25, 84084.3515625 445875.6875, 84123.0859375 445856.9375)",1500.0,None,40.0,15,30.1641597
551,108452,6845,6842,335.15733,11,"LINESTRING (83803.1953125 445799.28125, 84043.7890625 445872.25, 84084.3515625 445875.6875, 84123.0859375 445856.9375)",1500.0,None,40.0,15,30.1641597
552,108481,5559,6846,112.04593,11,"LINESTRING (84189.1875 445477.96875, 84161.8359375 445586.625)",1500.0,None,40.0,15,10.0841337
553,108482,6846,5559,112.04593,11,"LINESTRING (84189.1875 445477.96875, 84161.8359375 445586.625)",1500.0,None,40.0,15,10.0841337
554,108501,6845,6846,276.98519999999996,11,"LINESTRING (84123.0859375 445856.9375, 84112.2734375 445803.78125, 84161.8359375 445586.625)",1500.0,None,40.0,15,24.928668
555,108502,6846,6845,276.98519999999996,11,"LINESTRING (84123.0859375 445856.9375, 84112.2734375 445803.78125, 84161.8359375 445586.625)",1500.0,None,40.0,15,24.928668
556,108521,6842,6847,305.81149,10,"LINESTRING (83803.1953125 445799.28125, 83851.375 445578.15625, 83881.59375 445504.625)",1200.0,None,35.0,15,31.454896114285713
557,108522,6847,6842,305.81149,10,"LINESTRING (83803.1953125 445799.28125, 83851.375 445578.15625, 83881.59375 445504.625)",1200.0,None,35.0,15,31.454896114285713
558,108531,6846,6847,291.99262999999996,10,"LINESTRING (84161.8359375 445586.625, 83881.59375 445504.625)",1200.0,None,35.0,15,30.03352765714286
559,108532,6847,6846,291.99262999999996,10,"LINESTRING (84161.8359375 445586.625, 83881.59375 445504.625)",1200.0,None,35.0,15,30.03352765714286
560,108561,6847,6848,197.96733999999998,10,"LINESTRING (83881.59375 445504.625, 83941 445315.78125)",1200.0,None,35.0,15,20.36235497142857
561,108562,6848,6847,197.96733999999998,10,"LINESTRING (83881.59375 445504.625, 83941 445315.78125)",1200.0,None,35.0,15,20.36235497142857
562,108591,6848,6849,69.62038,10,"LINESTRING (83941 445315.78125, 83962.6875 445249.625)",1200.0,None,35.0,15,7.160953371428572
563,108592,6849,6848,69.62038,10,"LINESTRING (83941 445315.78125, 83962.6875 445249.625)",1200.0,None,35.0,15,7.160953371428572
564,108611,5559,6850,144.72616,11,"LINESTRING (84189.1875 445477.96875, 84234.8203125 445340.625)",1500.0,None,40.0,15,13.0253544
565,108612,6850,5559,144.72616,11,"LINESTRING (84189.1875 445477.96875, 84234.8203125 445340.625)",1500.0,None,40.0,15,13.0253544
566,108621,6678,6850,246.04493,11,"LINESTRING (84306.59375 445105.28125, 84234.8203125 445340.625)",1500.0,None,40.0,15,22.144043699999997
567,108622,6850,6678,246.04493,11,"LINESTRING (84306.59375 445105.28125, 84234.8203125 445340.625)",1500.0,None,40.0,15,22.144043699999997
568,108631,6849,6850,286.94471999999996,10,"LINESTRING (83962.6875 445249.625, 84234.8203125 445340.625)",1200.0,None,35.0,15,29.514314057142855
569,108632,6850,6849,286.94471999999996,10,"LINESTRING (83962.6875 445249.625, 84234.8203125 445340.625)",1200.0,None,35.0,15,29.514314057142855
570,108641,6709,6851,200.83532000000002,11,"LINESTRING (84107.6953125 446163.59375, 84087.046875 446283.9375, 84062.703125 446358.8125)",1500.0,None,40.0,15,18.0751788
